addressLine1,addressLine2,bathrooms,bedrooms,city,county,countyFips,createdDate,daysOnMarket,formattedAddress,history,id,lastSeenDate,latitude,listedDate,listingAgent,listingOffice,listingType,longitude,lotSize,mlsName,mlsNumber,price,propertyType,removedDate,squareFootage,state,stateFips,status,yearBuilt,zipCode
948 E 42nd Pl,,6,10,Los Angeles,Los Angeles,037,2025-07-26T00:00:00.000Z,136,"948 E 42nd Pl, Los Angeles, CA 90011","{'2025-07-26': {'event': 'Sale Listing', 'price': 1098000, 'listingType': 'Standard', 'listedDate': '2025-07-26T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 136}}","948-E-42nd-Pl,-Los-Angeles,-CA-90011",2025-12-08T14:00:51.179Z,34.006386,2025-07-26T00:00:00.000Z,"{'name': 'Rod Austin', 'phone': '5626197000', 'email': 'rkbaustin@aol.com', 'website': 'https://rodaustin.homebaserealtyinc.com/about'}","{'name': 'Home Base Realty Inc', 'phone': '5622024000', 'email': 'dave@dcrealtypro.com'}",Standard,-118.258933,5484,CRMLS,PW25167983,1098000,Multi-Family,,3676,CA,06,Active,2020,90011
972 E 42nd Pl,,6,10,Los Angeles,Los Angeles,037,2025-07-29T00:00:00.000Z,134,"972 E 42nd Pl, Los Angeles, CA 90011","{'2025-07-28': {'event': 'Sale Listing', 'price': 1098000, 'listingType': 'New Construction', 'listedDate': '2025-07-28T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 134}}","972-E-42nd-Pl,-Los-Angeles,-CA-90011",2025-12-08T14:00:51.255Z,34.006387,2025-07-28T00:00:00.000Z,"{'name': 'Rod Austin', 'phone': '5626197000', 'email': 'rkbaustin@aol.com', 'website': 'https://rodaustin.homebaserealtyinc.com/about'}","{'name': 'Home Base Realty Inc', 'phone': '5622024000', 'email': 'dave@dcrealtypro.com'}",New Construction,-118.258598,5236,CRMLS,PW25169585,1098000,Multi-Family,,3790,CA,06,Active,2020,90011
917 E 42nd St,,3,5,Los Angeles,Los Angeles,037,2025-07-08T00:00:00.000Z,154,"917 E 42nd St, Los Angeles, CA 90011","{'2025-07-08': {'event': 'Sale Listing', 'price': 799900, 'listingType': 'Standard', 'listedDate': '2025-07-08T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 154}}","917-E-42nd-St,-Los-Angeles,-CA-90011",2025-12-08T13:52:20.492Z,34.00777,2025-07-08T00:00:00.000Z,"{'name': 'Raul Gonzalez', 'phone': '7149990976', 'email': 'raul@realty104.com'}","{'name': 'ALL IN ONE REAL ESTATE', 'phone': '7149990976', 'email': 'cmendoza@cncrealty.com'}",Standard,-118.259537,5001,CRMLS,PW25141877,799900,Multi-Family,,1402,CA,06,Active,1922,90011
901 E 42nd,,4,7,Los Angeles,Los Angeles,037,2025-06-09T00:00:00.000Z,183,"901 E 42nd, Los Angeles, CA 90011","{'2025-06-09': {'event': 'Sale Listing', 'price': 948000, 'listingType': 'Standard', 'listedDate': '2025-06-09T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 183}}","901-E-42nd,-Los-Angeles,-CA-90011",2025-12-08T13:42:16.124Z,34.007751,2025-06-09T00:00:00.000Z,"{'name': 'Eunjin Macfarlane', 'phone': '8053386691', 'email': 'jinnymacrealty@gmail.com'}","{'name': 'Real Estate eBroker Inc.', 'phone': '7607223222', 'email': 'info@reebrokerca.com', 'website': 'www.reebrokerca.com'}",Standard,-118.259811,4957,CRMLS,SR25128347,948000,Multi-Family,,2200,CA,06,Active,1910,90011
4166 Wadsworth Ave,,3,3,Los Angeles,Los Angeles,037,2024-07-05T00:00:00.000Z,98,"4166 Wadsworth Ave, Los Angeles, CA 90011","{'2024-07-04': {'event': 'Sale Listing', 'price': 749000, 'listingType': 'Standard', 'listedDate': '2024-07-04T00:00:00.000Z', 'removedDate': '2025-01-21T00:00:00.000Z', 'daysOnMarket': 201}, '2025-01-21': {'event': 'Sale Listing', 'price': 699000, 'listingType': 'Standard', 'listedDate': '2025-01-21T00:00:00.000Z', 'removedDate': '2025-04-29T00:00:00.000Z', 'daysOnMarket': 98}}","4166-Wadsworth-Ave,-Los-Angeles,-CA-90011",2025-04-28T13:33:42.618Z,34.007774,2025-01-21T00:00:00.000Z,"{'name': 'Simone Poingsett', 'phone': '4246254008', 'email': 'simonepoingsett@gmail.com'}","{'name': 'Coldwell Banker Realty - Studio City', 'phone': '8187885400', 'email': '900624.lead@leads.leadrouter.com', 'website': 'https://www.coldwellbankerhomes.com/ca/studio-city/office/studio-city/oid_6014/'}",Standard,-118.258757,6252,TheMLSCLAW,25-486931,699000,Multi-Family,2025-04-29T00:00:00.000Z,1557,CA,06,Inactive,1904,90011
1007 E 42nd Pl,,1,2,Los Angeles,Los Angeles,037,2024-05-21T00:00:00.000Z,312,"1007 E 42nd Pl, Los Angeles, CA 90011","{'2024-05-20': {'event': 'Sale Listing', 'price': 487000, 'listingType': 'Standard', 'listedDate': '2024-05-20T00:00:00.000Z', 'removedDate': '2025-03-28T00:00:00.000Z', 'daysOnMarket': 312}}","1007-E-42nd-Pl,-Los-Angeles,-CA-90011",2025-03-27T12:06:26.968Z,34.006909,2024-05-20T00:00:00.000Z,"{'name': 'Ana Acosta', 'phone': '7143294844', 'email': 'anaacosta.realtor@gmail.com'}","{'name': 'Keller Williams Realty', 'phone': '7144263800'}",Standard,-118.257938,5097,CRMLS,PW24099629,487000,Single Family,2025-03-28T00:00:00.000Z,888,CA,06,Inactive,1907,90011
857 E 42nd St,,2,4,Los Angeles,Los Angeles,037,2024-03-07T00:00:00.000Z,75,"857 E 42nd St, Los Angeles, CA 90011","{'2024-07-12': {'event': 'Sale Listing', 'price': 775000, 'listingType': 'Standard', 'listedDate': '2024-07-12T00:00:00.000Z', 'removedDate': '2024-09-25T00:00:00.000Z', 'daysOnMarket': 75}}","857-E-42nd-St,-Los-Angeles,-CA-90011",2024-09-24T13:47:31.164Z,34.007766,2024-07-12T00:00:00.000Z,"{'name': 'Joshua Vivanco', 'phone': '5622997934', 'email': 'joshvivanco51@gmail.com'}","{'name': 'Keller Williams Realty Downtown LA', 'phone': '2137977000', 'email': 'jeff@jeffcurtisteam.com'}",Standard,-118.260601,4381,CRMLS,DW24142827,775000,Single Family,2024-09-25T00:00:00.000Z,1069,CA,06,Inactive,1916,90011
876-876 1/2 E 41st Pl,,3,6,Los Angeles,Los Angeles,037,2023-03-14T00:00:00.000Z,644,"876-876 1/2 E 41st Pl, Los Angeles, CA 90011","{'2023-03-14': {'event': 'Sale Listing', 'price': 739900, 'listingType': 'Standard', 'listedDate': '2023-03-14T00:00:00.000Z', 'removedDate': '2024-12-17T00:00:00.000Z', 'daysOnMarket': 644}}","876-876-1-2-E-41st-Pl,-Los-Angeles,-CA-90011",2024-12-16T09:06:36.776Z,34.008111,2023-03-14T00:00:00.000Z,"{'name': 'Maria Amaya', 'phone': '5625729930', 'email': 'c21meliza@yahoo.com'}","{'name': 'CENTURY 21 Jervis & Associates', 'phone': '5628622226', 'email': 'jakijervis@aol.com', 'website': 'http://www.century21jervis.com/'}",Standard,-118.260276,6250,CRMLS,DW23042015,739900,Multi-Family,2024-12-17T00:00:00.000Z,2112,CA,06,Inactive,1902,90011
1009 E 43rd St,,1,2,Los Angeles,Los Angeles,037,2024-11-11T00:00:00.000Z,16,"1009 E 43rd St, Los Angeles, CA 90011","{'2024-11-11': {'event': 'Sale Listing', 'price': 490000, 'listingType': 'Standard', 'listedDate': '2024-11-11T00:00:00.000Z', 'removedDate': '2025-02-26T00:00:00.000Z', 'daysOnMarket': 107}, '2025-08-22': {'event': 'Sale Listing', 'price': 549000, 'listingType': 'Standard', 'listedDate': '2025-08-22T00:00:00.000Z', 'removedDate': '2025-09-07T00:00:00.000Z', 'daysOnMarket': 16}}","1009-E-43rd-St,-Los-Angeles,-CA-90011",2025-09-06T11:46:59.175Z,34.006004,2025-08-22T00:00:00.000Z,"{'name': 'Jason Lee', 'phone': '3107702646', 'email': 'jason@calkorproperties.com'}","{'name': 'Team Spirit Realty', 'phone': '4242471168'}",Standard,-118.257936,5163,TheMLSCLAW,25581915,549000,Single Family,2025-09-07T00:00:00.000Z,1014,CA,06,Inactive,1912,90011
961 E 41st Pl,,1,3,Los Angeles,Los Angeles,037,2024-05-18T00:00:00.000Z,42,"961 E 41st Pl, Los Angeles, CA 90011",,"961-E-41st-Pl,-Los-Angeles,-CA-90011",2024-06-27T13:07:36.797Z,34.008547,2024-05-17T00:00:00.000Z,,,,-118.25876,3372,,,619000,Single Family,2024-06-28T00:00:00.000Z,1143,CA,06,Inactive,1906,90011
